name,country,region
A/Mixed/NL/FAV-0035-16/2021|2.3.4.4b|2021-12-16,Canada,North America
A/Mixed/NL/FAV-0035-2/2021|2.3.4.4b|2021-12-16,Canada,North America
A/Mixed/NL/FAV-0035-3/2021|2.3.4.4b|2021-12-16,Canada,North America
A/Mixed/NL/FAV-0035-4/2021|2.3.4.4b|2021-12-16,Canada,North America
A/Mixed/NL/FAV-0035-5/2021|2.3.4.4b|2021-12-16,Canada,North America
A/Mixed/NS/FAV-0065-10/2022|2.3.4.4b|2022-01-28,Canada,North America
A/Mixed/NS/FAV-0065-11/2022|2.3.4.4b|2022-01-28,Canada,North America
A/Mixed/NS/FAV-0066-1/2021|2.3.4.4b|2022-01-28,Canada,North America
A/Mixed/NS/FAV-0066-3/2021|2.3.4.4b|2022-01-28,Canada,North America
A/Mixed/NS/FAV-0083-125/2022|2.3.4.4b|2022-02-07,Canada,North America
A/Mixed/NS/FAV-0083-126/2022|2.3.4.4b|2022-02-07,Canada,North America
A/Mixed/NS/FAV-0083-154/2022|2.3.4.4b|2022-02-07,Canada,North America
A/Mixed/NS/FAV-0083-155/2022|2.3.4.4b|2022-02-07,Canada,North America
A/Muscovy_duck/England/074477/2021|2.3.4.4b|2021-12-21,UK,Other
A/Muscovy_duck/Georgia/23-032683-001/2022|2.3.4.4b|2022-01-01,USA,North America
A/Mute_Swan/Sweden/SVA220103SZ0264/FB000004/AB-2022|2.3.4.4b|2022-01-01,Sweden,Other
A/Mute_Swan/Sweden/SVA220103SZ0264/FB000005/AB-2022|2.3.4.4b|2022-01-01,Sweden,Other
A/Mute_Swan/Sweden/SVA220127SZ039422/FB000218/AB-2022|2.3.4.4b|2022-01-11,Sweden,Other
A/Mute_swan/England/385335/2021|2.3.4.4b|2021-11-03,UK,Other
A/Northern_Pintail/North_Carolina/USDA-001330-008/2022|2.3.4.4b|2022-01-08,USA,North America
A/Northern_Shoveler/Delaware/USDA-003933-001/2022|2.3.4.4b|2022-01-31,USA,North America
A/Northern_Shoveler/North_Carolina/USDA-001330-016/2022|2.3.4.4b|2022-01-08,USA,North America
A/Northern_Shoveler/North_Carolina/USDA-003831-019/2022|2.3.4.4b|2022-01-29,USA,North America
A/Pelican/Missouri/USDA-012338-019/2022|2.3.4.4b|2022-03-01,USA,North America
A/Pelican/Missouri/USDA-012338-020/2022|2.3.4.4b|2022-03-01,USA,North America
A/Red-Tailed_Hawk/NS/FAV-0095-2/2022|2.3.4.4b|2022-02-08,Canada,North America
A/Red-breasted_Merganser/NS/FAV-0113-1/2022|2.3.4.4b|2022-02-15,Canada,North America
A/Red-shouldered_Hawk/Delaware/USDA-004621-001/2022|2.3.4.4b|2022-02-10,USA,North America
A/Red-shouldered_Hawk/North_Carolina/USDA-006530-001/2022|2.3.4.4b|2022-02-01,USA,North America
